transaction_id,card_number,transaction_datetime,transaction_amount,merchant_id,merchant_category,transaction_type,entry_mode,transaction_city,transaction_state,transaction_country,currency_code,is_international,is_fraud,cardholder_id,cardholder_age,cardholder_gender
TXN000187,6.011E+15,3/3/23 4:14,0.01,MRH10118,public_transport,purchase,contactless,,,AUS,AUD,TRUE,FALSE,CH1092,28,female
TXN000195,6.011E+15,9/12/22 22:21,0.5,MRH10456,public_transport,purchase,contactless,London,,GBR,GBP,TRUE,FALSE,CH2018,24,male
TXN000092,6.01199E+15,3/3/24 17:17,0.99,MRH00040,books,refund,online,San Diego,CA,USA,USD,FALSE,FALSE,CH1001,22,female
TXN000199,6.011E+15,1/14/24 6:45,3.25,MRH10013,coffee_shop,purchase,contactless,,,MEX,MXN,TRUE,FALSE,CH1012,38,male
TXN000026,6.011E+15,2/7/24 12:32,3.5,MRH00245,coffee_shop,purchase,contactless,Denver,CO,USA,USD,FALSE,FALSE,CH0017,23,male
TXN000161,4.48512E+15,4/16/24 11:21,3.59,MRH11452,fast_food,purchase,contactless,Miami,FL,USA,USD,FALSE,FALSE,CH4010,21,male
TXN000049,6.011E+15,1/18/23 16:46,3.99,MRH00498,public_transport,purchase,contactless,Singapore,,SGP,SGD,TRUE,FALSE,CH0033,22,female
TXN000180,4E+15,3/16/22 17:19,5.25,MRH10013,coffee_shop,purchase,contactless,,,GBR,GBP,TRUE,FALSE,CH3121,29,female
TXN000065,6.0115E+15,8/25/23 12:41,5.5,MRH00025,books,purchase,chip,Denver,CO,USA,USD,FALSE,FALSE,CH1001,22,female
TXN000166,4E+15,10/30/22 21:14,5.5,MRH11023,coffee_shop,purchase,chip,Portland,OR,USA,USD,FALSE,FALSE,CH1092,28,female
TXN000162,6.01184E+15,8/25/22 10:28,5.5,MRH00717,fast_food,purchase,contactless,Austin,TX,USA,USD,FALSE,FALSE,CH0006,22,male
TXN000058,6.01156E+16,7/22/22 8:19,6.75,MRH00008,coffee_shop,purchase,online,Philadelphia,PA,USA,USD,FALSE,FALSE,CH1008,26,female
TXN000172,6.011E+15,9/20/22 8:02,6.89,MRH10013,coffee_shop,purchase,chip,Dallas,TX,USA,USD,FALSE,FALSE,CH6120,35,female
